,top50_scores,top25_scores,top10_scores
rh_insula_thickness,0.0,0.0,0.0
rh_MeanThickness_thickness,0.0,0.0,0.0
rh_G.S_frontomargin_thickness,0.0,0.0,0.0
rh_G.S_occipital_inf_thickness,0.0,0.0,0.0
rh_G.S_paracentral_thickness,0.0,0.0,0.0
rh_G.S_subcentral_thickness,0.0,0.0,0.0
rh_G.S_transv_frontopol_thickness,0.0,0.0,0.0
rh_G.S_cingul.Ant_thickness,0.0,0.0,0.0
rh_G.S_cingul.Mid.Ant_thickness,0.0,0.0,0.0
rh_G.S_cingul.Mid.Post_thickness,0.0,0.0,0.0
rh_G_cingul.Post.dorsal_thickness,0.0,0.0,0.0
rh_G_cingul.Post.ventral_thickness,0.0,0.0,0.0
lh_G_pariet_inf.Angular_thicknessstd,0.0,0.0,0.0
rh_G_front_inf.Opercular_thickness,0.0,0.0,0.0
rh_G_front_inf.Orbital_thickness,0.0,0.0,0.0
rh_G_front_inf.Triangul_thickness,0.0,0.0,0.0
rh_G_front_middle_thickness,0.0,0.0,0.0
rh_G_front_sup_thickness,6.0,6.0,0.0
rh_G_Ins_lg.S_cent_ins_thickness,0.0,0.0,0.0
rh_rostralmiddlefrontal_thickness,0.0,0.0,0.0
rh_rostralanteriorcingulate_thickness,0.0,0.0,0.0
rh_precuneus_thickness,0.0,0.0,0.0
rh_isthmuscingulate_thickness,0.0,0.0,0.0
lh_S_temporal_inf_thickness,6.0,0.0,0.0
lh_S_temporal_sup_thickness,0.0,0.0,0.0
lh_S_temporal_transverse_thickness,0.0,0.0,0.0
rh_bankssts_thickness,0.0,0.0,0.0
rh_caudalanteriorcingulate_thickness,0.0,0.0,0.0
rh_caudalmiddlefrontal_thickness,0.0,0.0,0.0
rh_cuneus_thickness,0.0,0.0,0.0
rh_entorhinal_thickness,0.0,0.0,0.0
rh_fusiform_thickness,3.0,3.0,0.0
rh_inferiorparietal_thickness,0.0,0.0,0.0
rh_inferiortemporal_thickness,0.0,0.0,0.0
rh_lateraloccipital_thickness,0.0,0.0,0.0
rh_precentral_thickness,0.0,0.0,0.0
rh_lateralorbitofrontal_thickness,0.0,0.0,0.0
rh_lingual_thickness,0.0,0.0,0.0
rh_medialorbitofrontal_thickness,0.0,0.0,0.0
rh_middletemporal_thickness,0.0,0.0,0.0
rh_parahippocampal_thickness,0.0,0.0,0.0
rh_paracentral_thickness,0.0,0.0,0.0
rh_parsopercularis_thickness,0.0,0.0,0.0
rh_parsorbitalis_thickness,0.0,0.0,0.0
rh_parstriangularis_thickness,3.0,0.0,0.0
rh_pericalcarine_thickness,0.0,0.0,0.0
rh_posteriorcingulate_thickness,0.0,0.0,0.0
lh_G_orbital_thicknessstd,0.0,0.0,0.0
lh_G_subcallosal_thicknessstd,0.0,0.0,0.0
lh_G_pariet_inf.Supramar_thicknessstd,0.0,0.0,0.0
Left.Inf.Lat.Vent,0.0,0.0,0.0
rh_S_parieto_occipital_thicknessstd,0.0,0.0,0.0
rh_S_pericallosal_thicknessstd,0.0,0.0,0.0
rh_S_postcentral_thicknessstd,0.0,0.0,0.0
rh_S_precentral.inf.part_thicknessstd,0.0,0.0,0.0
rh_S_precentral.sup.part_thicknessstd,0.0,0.0,0.0
rh_S_suborbital_thicknessstd,0.0,0.0,0.0
rh_S_subparietal_thicknessstd,0.0,0.0,0.0
rh_S_temporal_inf_thicknessstd,0.0,0.0,0.0
rh_S_temporal_sup_thicknessstd,0.0,0.0,0.0
rh_S_temporal_transverse_thicknessstd,0.0,0.0,0.0
Measure.volume,0.0,0.0,0.0
Left.Lateral.Ventricle,3.0,0.0,0.0
Left.Cerebellum.White.Matter,0.0,0.0,0.0
